名称,Label,標高,Latitude,Longitude,写真,短文,リンク,リンク2,記事,アイコン,アイコンの高さ
**青葉山（若狭富士）**  693m,青葉山,693m,35.50605,135.47801,https://cooneywalker.github.io/reearth_plugins/mountains/mt_aoba.jpg,##### 　東から見る三角形の美しい山容が人気の山。日本海を望む景観が素晴らしく、ブナ林や鎖場、岩室くぐりとバラエティに富んだ登山道が楽しい。オオキンレイカは青葉山でした生育が確認されていない福井県天然記念物。福井県高浜町・京都府舞鶴市。,[360°画像はこちら→](https://fukuishimbun.sakura.ne.jp/mk/360/umanose.html),,[記者ルポはこちら→](https://www.fukuishimbun.co.jp/articles/-/2354115),https://cooneywalker.github.io/reearth_plugins/mountains/icons/mt_icons_aoba.jpg,3000
**多田ケ岳（若狭富士）**  712m,多田ケ岳,712m,35.451175146787726,135.76278952577152,https://cooneywalker.github.io/reearth_plugins/mountains/tada_gatake.jpg,##### 　小浜市の南東にそびえる。麓には平安期の仏像を収める多田寺や妙楽寺、お水送りで知られる神宮寺といった神社仏閣が点在する。３６０度開けた頂上からは中心市街地や小浜湾が一望できる。福井県小浜市。,[360°画像はこちら→](https://fukuishimbun.sakura.ne.jp/mk/360/tadagatake.html),,[記者ルポはこちら→](https://www.fukuishimbun.co.jp/articles/-/2354115),https://cooneywalker.github.io/reearth_plugins/mountains/icons/mt_icons_tada.jpg,3000
**久須夜ケ岳（若狭富士）**  618m,久須夜ケ岳,618m,35.566702,135.71278,https://cooneywalker.github.io/reearth_plugins/mountains/kusuya_gatake.jpg,##### 　内外海半島にある。頂上にあるエンゼルライン沿いの第１駐車場からは若狭湾、小浜湾、越前岬、常神半島、丹後半島などが一望できる。国の名勝「蘇洞門」を目指して下山し、登山して戻ってくるという一風変わった山行が楽しめる。福井県小浜市。,[360°画像はこちら→](https://fukuishimbun.sakura.ne.jp/mk/360/kusuyagatake.html),,[記者ルポはこちら→](https://www.fukuishimbun.co.jp/articles/-/2354115),https://cooneywalker.github.io/reearth_plugins/mountains/icons/mt_icons_kasuya.jpg,3000
**梅丈岳（三方富士）**  395m,梅丈岳,395m,35.60144,135.8692,https://cooneywalker.github.io/reearth_plugins/mountains/baijo_dake.jpg,##### 　山頂付近にはレインボーライン山頂公園が整備されており、駐車場からリフトやケーブルカーで登頂できる。三方五湖や日本海が広がる３６０度の眺望は県内随一の絶景。福井県若狭町・美浜町。,[360°画像はこちら→](https://fukuishimbun.sakura.ne.jp/mk/360/baijo.html),,[記者ルポはこちら→](https://www.fukuishimbun.co.jp/articles/-/2354115),https://cooneywalker.github.io/reearth_plugins/mountains/icons/mt_icons_baijo.jpg,2000
**野坂岳（敦賀富士）**  913m,野坂岳,913m,35.59033,136.02609,https://cooneywalker.github.io/reearth_plugins/mountains/mt_nosaka.jpg,##### 　敦賀市最高峰で岩籠山、西方ケ岳とともに敦賀三山に数えられる。２０１４年に衛星利用測位システム（ＧＰＳ）で算出する前の標高は９１４メートルで、郵便番号と同じことから特に親しまれてきた。福井県敦賀市。,[360°画像はこちら→](https://fukuishimbun.sakura.ne.jp/mk/360/nosakadake.html),,[記者ルポはこちら→](https://www.fukuishimbun.co.jp/articles/-/2354115),https://cooneywalker.github.io/reearth_plugins/mountains/icons/mt_icons_nosaka.jpg,2000
**日野山（越前富士）**  794m,日野山,794m,35.8593116267166,136.207887020376,https://cooneywalker.github.io/reearth_plugins/mountains/mt_hino.jpg,##### 　泰澄大師が開いたとされる「越前五山」の一つ。かつては女人禁制の山で、登ろうとした尼僧が神の怒りに触れ転げ押したとされる「比丘尼（びくに）ころばし」と呼ばれる急勾配の箇所がある。北側からの山容が美しく「越前富士」と呼ばれる。福井県越前市・南越前町。,[360°画像はこちら→](https://fukuishimbun.sakura.ne.jp/mk/360/hinosan.html),,[記者ルポはこちら→](https://www.fukuishimbun.co.jp/articles/-/2354115),https://cooneywalker.github.io/reearth_plugins/mountains/icons/mt_icons_hino.jpg,5000
**行司岳（野岡富士）**  311m,行司岳,311m,35.9257943238995,136.239311649516,https://cooneywalker.github.io/reearth_plugins/mountains/mt_gyouji.jpg,##### 　「三里山」「南三里山」「行司岳」の三つの峰から三里山の一角。北の文殊山と、南の日野山が二つの山が背比べをした際、間で行司を務めたとの逸話がある。東の麓にある野岡地区からの眺めが富士に似ているとして「野岡富士」とも呼ばれる。福井県越前市。,[360°画像はこちら→](https://fukuishimbun.sakura.ne.jp/mk/360/gyouji.html),,[記者ルポはこちら→](https://www.fukuishimbun.co.jp/articles/-/2354115),https://cooneywalker.github.io/reearth_plugins/mountains/icons/mt_icons_gyouji.jpg,3000
**文殊山（角原富士）**  366m,文殊山,366m,35.9904685139131,136.2240434396,https://cooneywalker.github.io/reearth_plugins/mountains/mt_monju.jpg,##### 　泰澄大師が開いたとされる「越前五山」の一つ。山の北西の麓にある角原町から見た山容が富士山に似ているとして「角原（つのはら）富士」と呼ばれる。片道１時間から１時間半ほどで登れることから、年間通じて多くの登山者でにぎわう。福井県福井市・鯖江市。,[360°展望台画像はこちら→](https://fukuishimbun.sakura.ne.jp/mk/360/monju_view.html),[360°頂上画像はこちら→](https://fukuishimbun.sakura.ne.jp/mk/360/monju_top.html),[記者ルポはこちら→](https://www.fukuishimbun.co.jp/articles/-/2354115),https://cooneywalker.github.io/reearth_plugins/mountains/icons/mt_icons_monju.jpg,3000
**荒島岳（大野富士）**  1523m,荒島岳,1523m,35.93506,136.60237,https://cooneywalker.github.io/reearth_plugins/mountains/arashima_dake.jpg,##### 　福井県内唯一の「日本百名山」。大野盆地の南東にあり「大野富士」とも。ブナの原生林が美しい勝原コース、「日本百名山」著者の深田久弥がたどった中出コースなど四つのコースがあり、県内外から多くの登山者が訪れる。福井県大野市。,[360°画像はこちら→](https://fukuishimbun.sakura.ne.jp/mk/360/arashima.html),,[記者ルポはこちら→](https://www.fukuishimbun.co.jp/articles/-/2354115),https://cooneywalker.github.io/reearth_plugins/mountains/icons/mt_icons_arashima.jpg,4000
**西方ケ岳**  764m,西方ケ岳,764m,35.69364,136.02453,https://cooneywalker.github.io/reearth_plugins/mountains/seifo_gatake.jpg,##### 　敦賀湾の西側、敦賀半島のほぼ中央に位置する。海抜ゼロからの海を眺めながらの山行が楽しい。敦賀三山の一つ。福井県敦賀市・美浜町。,[360°画像はこちら→](https://fukuishimbun.sakura.ne.jp/mk/360/seifogatake.html),,[記者ルポはこちら→](https://www.fukuishimbun.co.jp/articles/-/2354115),https://cooneywalker.github.io/reearth_plugins/mountains/icons/mt_icons_seifo.jpg,3000
